cost,LogRooms,LogIncome,LogPeople,elheat,onlysecondary,waterheat,cookel,poolfilt,airrev,aircond,microwave,dish,dryer
289.0,1.791759469228055,8.268731832117737,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
323.0,1.6094379124341003,8.779557455883728,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
310.0,1.9459101490553132,9.041921720351219,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
522.0,1.9459101490553132,10.807705703176014,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
197.0,1.791759469228055,9.185022563991893,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
447.0,1.9459101490553132,9.878169744551839,1.0986122886681096,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
523.0,2.0794415416798357,10.003332887505843,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
591.0,1.791759469228055,9.568014816247999,0.6931471805599453,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
201.0,1.6094379124341003,10.003332887505843,1.3862943611198906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396.0,2.0794415416798357,10.305613759378778,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
590.0,1.791759469228055,9.735068900911164,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
605.0,2.1972245773362196,10.696480068065789,1.791759469228055,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
363.0,1.9459101490553132,9.878169744551839,1.6094379124341003,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1222.0,2.1972245773362196,10.571316925111784,0.6931471805599453,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
504.0,2.302585092994046,9.878169744551839,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
493.0,1.9459101490553132,10.305613759378778,1.3862943611198906,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
